time,open,high,low,close,volume
2024-11-01 04:01:00,205.0758,206.3656,205.0758,206.3656,3
2024-11-01 04:03:00,206.2763,206.2763,206.2763,206.2763,1
2024-11-01 04:04:00,206.1672,206.2961,205.3040,205.3040,198
2024-11-01 04:05:00,206.2664,206.2664,206.2664,206.2664,2
2024-11-01 04:06:00,205.5223,206.1672,205.3933,206.1672,17
2024-11-01 04:13:00,205.7703,205.7703,205.7703,205.7703,26
2024-11-01 04:14:00,205.7604,205.7604,205.7604,205.7604,1
2024-11-01 04:15:00,205.7108,205.7703,205.6711,205.6711,9
2024-11-01 04:17:00,205.7306,205.7306,205.7306,205.7306,1
2024-11-01 04:26:00,205.7108,205.7306,205.7108,205.7306,2
2024-11-01 04:31:00,205.7306,205.7306,205.7306,205.7306,8
2024-11-01 04:35:00,205.6711,205.7604,205.6711,205.7604,11
2024-11-01 04:36:00,205.7505,205.7604,205.7306,205.7604,26
2024-11-01 04:38:00,205.7306,205.7306,205.7306,205.7306,2
2024-11-01 04:50:00,205.7306,205.7306,205.3635,205.3635,30
2024-11-01 04:54:00,205.4131,205.4131,205.3338,205.3338,35
2024-11-01 05:04:00,205.3338,205.3338,205.3338,205.3338,1
2024-11-01 05:39:00,205.3834,205.3834,205.3338,205.3338,50
2024-11-01 05:45:00,205.3834,205.6711,205.3338,205.6711,19
2024-11-01 05:47:00,205.6711,205.6711,205.6711,205.6711,4
2024-11-01 05:49:00,205.7207,205.7207,205.6909,205.6909,6
2024-11-01 06:00:00,205.3536,205.3536,205.3536,205.3536,5
2024-11-01 06:01:00,205.3735,205.3735,205.3735,205.3735,5
2024-11-01 06:06:00,205.7306,205.7306,205.7306,205.7306,1
2024-11-01 06:11:00,205.8596,205.8596,205.8596,205.8596,10
2024-11-01 06:12:00,205.4528,205.4528,205.4528,205.4528,1
2024-11-01 06:19:00,205.6711,205.6711,205.6711,205.6711,60
2024-11-01 06:24:00,205.6711,205.6711,205.6711,205.6711,20
2024-11-01 06:31:00,205.6711,205.6711,205.6711,205.6711,20
2024-11-01 06:35:00,205.6810,205.6810,205.6810,205.6810,20
2024-11-01 06:36:00,206.0283,206.0283,206.0283,206.0283,2
2024-11-01 06:38:00,206.1076,206.1076,206.1076,206.1076,2
2024-11-01 06:41:00,206.1076,206.1076,206.1076,206.1076,4
2024-11-01 06:42:00,205.8695,205.8695,205.8695,205.8695,1
2024-11-01 06:43:00,205.8695,205.8695,205.8695,205.8695,1
2024-11-01 06:47:00,206.1275,206.1275,206.1275,206.1275,1
2024-11-01 06:49:00,206.1275,206.1275,205.9291,205.9489,48
2024-11-01 06:50:00,205.9489,205.9489,205.9489,205.9489,7
2024-11-01 06:55:00,206.1076,206.1076,206.1076,206.1076,200
2024-11-01 06:59:00,205.9489,205.9489,205.7703,205.7703,23
2024-11-01 07:00:00,205.6810,205.6810,205.6711,205.6711,511
2024-11-01 07:02:00,206.1672,206.2069,206.1672,206.2069,4
2024-11-01 07:03:00,205.8894,206.3061,205.8794,206.3061,75
2024-11-01 07:04:00,206.3061,206.4251,206.3061,206.4251,212
2024-11-01 07:11:00,206.3557,206.3557,205.9291,205.9291,40
2024-11-01 07:12:00,206.3557,206.3557,206.3557,206.3557,7
2024-11-01 07:13:00,205.9787,205.9787,205.9092,205.9092,65
2024-11-01 07:16:00,205.9291,205.9291,205.9291,205.9291,5
2024-11-01 07:17:00,206.3557,206.3557,206.3557,206.3557,1
2024-11-01 07:20:00,206.3557,206.3557,206.3557,206.3557,5
2024-11-01 07:21:00,206.0183,206.3557,206.0183,206.3557,11
2024-11-01 07:24:00,206.3656,206.3656,206.3656,206.3656,1
2024-11-01 07:26:00,206.3259,206.3259,206.3259,206.3259,4
2024-11-01 07:27:00,206.3259,206.3557,206.3259,206.3557,30
2024-11-01 07:42:00,206.3061,206.3061,206.3061,206.3061,15
2024-11-01 07:44:00,206.1176,206.1176,206.1176,206.1176,3
2024-11-01 07:45:00,206.0680,206.0680,206.0680,206.0680,10
2024-11-01 07:46:00,206.0382,206.0382,205.9191,205.9787,20
2024-11-01 07:48:00,205.9787,206.0680,205.9787,206.0680,2
2024-11-01 07:49:00,205.8894,205.8894,205.8894,205.8894,100
2024-11-01 07:50:00,206.0680,206.0779,206.0680,206.0779,72
2024-11-01 07:53:00,206.0779,206.0779,205.8794,205.8794,20
2024-11-01 07:56:00,205.8894,205.8894,205.8695,205.8695,282
2024-11-01 07:58:00,205.8993,205.8993,205.8993,205.8993,2
2024-11-01 07:59:00,205.8695,205.8695,205.8695,205.8695,5
2024-11-01 08:00:00,205.6711,206.4847,205.0957,205.9390,2113
2024-11-01 08:01:00,205.8695,205.8695,205.8695,205.8695,5
2024-11-01 08:02:00,205.8695,205.8695,205.0957,205.0957,23
2024-11-01 08:03:00,205.8001,205.8001,205.6810,205.7009,15
2024-11-01 08:04:00,205.6711,205.9092,205.6413,205.6413,50
2024-11-01 08:05:00,205.6413,205.9687,205.6413,205.9687,35
2024-11-01 08:06:00,205.6413,205.6413,205.5719,205.5719,15
2024-11-01 08:09:00,205.5719,205.5719,205.5719,205.5719,3
2024-11-01 08:11:00,205.5818,205.5818,205.5818,205.5818,5
2024-11-01 08:12:00,205.5719,205.6116,205.5520,205.6116,105
2024-11-01 08:13:00,205.5818,205.7306,205.5818,205.5818,89
2024-11-01 08:16:00,205.4231,205.4231,205.4231,205.4231,15
2024-11-01 08:17:00,205.4528,205.8695,205.3735,205.3933,16
2024-11-01 08:18:00,205.9687,206.0382,205.8695,205.8695,82
2024-11-01 08:19:00,205.4131,205.4131,205.3933,205.3933,150
2024-11-01 08:23:00,205.8695,205.8695,205.8695,205.8695,12
2024-11-01 08:24:00,205.7703,205.8695,205.7703,205.8100,1101
2024-11-01 08:25:00,205.4330,205.4330,205.4330,205.4330,15
2024-11-01 08:27:00,205.3933,205.7902,205.0857,205.7902,163
2024-11-01 08:29:00,205.2742,205.3139,205.2346,205.2742,15
2024-11-01 08:30:00,205.2544,205.4627,205.0560,205.0560,100
2024-11-01 08:31:00,205.9787,205.9787,205.8298,205.8298,2
2024-11-01 08:32:00,205.8695,205.8695,205.8695,205.8695,19
2024-11-01 08:33:00,205.7108,205.7108,205.7108,205.7108,1
2024-11-01 08:36:00,205.9505,205.9505,205.9505,205.9505,85
2024-11-01 08:38:00,205.8695,205.8695,205.8695,205.8695,50
2024-11-01 08:42:00,206.1374,206.1374,205.9291,206.0878,14
2024-11-01 08:43:00,205.8695,206.2664,205.6215,206.2664,91
2024-11-01 08:45:00,206.2465,206.2664,206.2465,206.2664,3
2024-11-01 08:46:00,206.1781,206.1781,206.1781,206.1781,50
2024-11-01 08:47:00,206.0878,206.1579,206.0878,206.1579,55
2024-11-01 08:48:00,206.1176,206.1176,205.8695,205.8695,519
2024-11-01 08:49:00,205.8695,205.8894,205.8695,205.8695,741
2024-11-01 08:53:00,205.9092,205.9092,205.9092,205.9092,20
2024-11-01 08:54:00,205.8695,205.8695,205.8695,205.8695,100
2024-11-01 08:55:00,205.9985,205.9985,205.9985,205.9985,16
2024-11-01 09:02:00,205.9191,205.9191,205.8794,205.8794,36
2024-11-01 09:03:00,206.2664,206.2664,206.2664,206.2664,1
2024-11-01 09:04:00,206.0183,206.0183,206.0183,206.0183,25
2024-11-01 09:05:00,205.8794,206.0183,205.8794,205.8794,358
2024-11-01 09:06:00,205.9687,205.9687,205.9687,205.9687,1
2024-11-01 09:08:00,205.9092,205.9092,205.9092,205.9092,1
2024-11-01 09:09:00,206.1176,206.2664,205.8894,205.8894,6
2024-11-01 09:10:00,206.2664,206.2664,206.0183,206.0183,4
2024-11-01 09:11:00,205.0957,206.0183,205.0957,205.8794,41277
2024-11-01 09:13:00,206.2124,206.2124,206.0680,206.0680,254
2024-11-01 09:14:00,206.0680,206.0680,206.0680,206.0680,5
2024-11-01 09:15:00,206.0084,206.0084,206.0084,206.0084,15
2024-11-01 09:16:00,206.0680,206.0680,206.0680,206.0680,200
2024-11-01 09:17:00,206.0183,206.0183,206.0183,206.0183,250
2024-11-01 09:18:00,205.9787,205.9787,205.9787,205.9787,1
2024-11-01 09:19:00,205.0957,205.8794,205.0957,205.0957,7
2024-11-01 09:20:00,205.8695,205.8794,205.8695,205.8794,160
2024-11-01 09:21:00,205.8695,205.8794,205.8695,205.8794,117
2024-11-01 09:23:00,205.8695,205.8695,205.8695,205.8695,3
2024-11-01 09:25:00,205.8695,206.1176,205.8695,206.0084,102
2024-11-01 09:26:00,205.8695,205.8695,205.8695,205.8695,10
2024-11-01 09:27:00,206.0084,206.0084,206.0084,206.0084,100
2024-11-01 09:28:00,205.8695,206.2244,205.8695,206.2244,171
2024-11-01 09:29:00,205.9489,206.0084,205.9489,206.0084,181
2024-11-01 09:30:00,206.1374,206.4946,205.7802,206.2713,68410
2024-11-01 09:31:00,206.1622,206.3557,206.1275,206.3557,5343
2024-11-01 09:32:00,206.4251,206.5045,206.0377,206.5045,6320
2024-11-01 09:33:00,206.2070,206.5154,206.1572,206.3458,10009
2024-11-01 09:34:00,206.3358,206.6970,206.2664,206.5739,7443
2024-11-01 09:35:00,206.5984,206.9906,206.4747,206.6632,9373
2024-11-01 09:36:00,206.5862,206.7036,206.4648,206.5888,4512
2024-11-01 09:37:00,206.6533,206.8120,206.6533,206.7525,4507
2024-11-01 09:38:00,206.6632,206.9113,206.6632,206.9113,8743
2024-11-01 09:39:00,206.8517,207.0113,206.7625,206.9014,8448
2024-11-01 09:40:00,206.7228,206.7625,206.6434,206.7625,7469
2024-11-01 09:41:00,206.6732,206.7426,206.3657,206.4400,9033
2024-11-01 09:42:00,206.4401,206.6902,206.4153,206.4153,10039
2024-11-01 09:43:00,206.5839,206.8021,206.5839,206.6732,4767
2024-11-01 09:44:00,206.7277,206.8021,206.6533,206.6533,4072
2024-11-01 09:45:00,206.6037,206.8914,206.6037,206.8269,9742
2024-11-01 09:46:00,206.8716,207.0601,206.7823,207.0204,9204
2024-11-01 09:47:00,206.9857,207.0303,206.8914,206.9113,5532
2024-11-01 09:48:00,206.8865,207.0118,206.8220,207.0118,7877
2024-11-01 09:49:00,206.9559,207.0203,206.9113,206.9510,5916
2024-11-01 09:50:00,206.9708,207.1792,206.9510,207.1196,27419
2024-11-01 09:51:00,207.0601,207.0601,206.9014,206.9113,10612
2024-11-01 09:52:00,206.8716,206.9113,206.5715,206.6335,38529
2024-11-01 09:53:00,206.6533,206.6533,206.5392,206.5442,7251
2024-11-01 09:54:00,206.5367,206.5491,206.3061,206.3061,16401
2024-11-01 09:55:00,206.3259,206.3854,206.3061,206.3854,10311
2024-11-01 09:56:00,206.3692,206.3692,206.3061,206.3110,3070
2024-11-01 09:57:00,206.2664,206.3110,206.0482,206.1017,21259
2024-11-01 09:58:00,206.0977,206.2365,206.0977,206.1076,8766
2024-11-01 09:59:00,206.0977,206.2366,206.0977,206.1870,5660
2024-11-01 10:00:00,206.2465,206.3660,206.1771,206.2664,6323
2024-11-01 10:01:00,206.2515,206.3954,206.2515,206.3758,6204
2024-11-01 10:02:00,206.3234,206.5243,206.3234,206.4648,5049
2024-11-01 10:03:00,206.4499,206.4946,206.3358,206.3954,5201
2024-11-01 10:04:00,206.5243,206.7525,206.5243,206.7525,4438
2024-11-01 10:05:00,206.6136,206.7525,206.6136,206.7277,6095
2024-11-01 10:06:00,206.7228,206.9113,206.7228,206.9113,4339
2024-11-01 10:07:00,206.9410,206.9893,206.8666,206.8716,8562
2024-11-01 10:08:00,206.8716,206.9510,206.8716,206.9014,7232
2024-11-01 10:09:00,206.9014,206.9708,206.9014,206.9609,4392
2024-11-01 10:10:00,206.9014,206.9906,206.8716,206.9410,3803
2024-11-01 10:11:00,206.9906,207.1295,206.9708,207.1295,4065
2024-11-01 10:12:00,207.1098,207.4470,207.1098,207.4470,15129
